id,Nome,Capa,Categoria,Sinopse,Link,Tipo,Temporadas,Idioma,Views,Favoritos,Histórico,Data,UID
79449,O Som da Morte,https://image.tmdb.org/t/p/w185/1tX11KQzujSDXdszFNRvQbbNi72.jpg,"Lançamentos, Mistério, Terror","Um grupo de estudantes disfuncionais se depara com um Apito da Morte asteca amaldiçoado. Logo, eles descobrem que usar o objeto produz um som aterrorizante capaz de prever suas futuras mortes.",http://fhd4.oneplayer.site/343rt342wtg34wetg34retg4rgh5kh4/FHD4/tt29550683.mp4,Filme,,Dublado,0,,,26/04/2026,
79450,Uma Segunda Chance,https://image.tmdb.org/t/p/w185/yC3byha23vhC2GMR139p4W42n36.jpg,"Drama, Lançamentos, Romance","Kenna comete um erro imperdoável que a leva à prisão. Sete anos depois, ela retorna à sua cidade natal, no Wyoming, na esperança de reconstruir a vida e conquistar a chance de se reencontrar com sua filha pequena, a quem nunca conheceu.",http://fhd4.oneplayer.site/343rt342wtg34wetg34retg4rgh5kh4/FHD4/tt33714084.mp4,Filme,,Dublado,0,,,26/04/2026,
79451,Um Stalker Apaixonado,https://image.tmdb.org/t/p/w185/s5vMwYTvSQxDkTca9jIGJauGzPk.jpg,"Comédia, Lançamentos, Terror, Thriller","Um sociopata violento, Paul, escapa de um hospital psiquiátrico e embarca em uma perigosa onda de violência. Seu alvo: Sofia, uma estrela pop mundialmente famosa. Sendo um fã obsessivo, ele faz Sofia refém em sua própria casa, acreditando delirantemente que eles vão se casar. Paul está desesperado para provar sua dedicação, mas Sofia está apenas tentando sobreviver à noite. À medida que Paul fica mais desequilibrado, sua fantasia se torna mais perigosa. Com a ajuda de seu leal guarda-costas, Sofia deve lutar não apenas por sua vida, mas por sua sanidade, e escapar do aperto sinistro de seu stalker e seu crescente grupo de cúmplices.",http://fhd4.oneplayer.site/343rt342wtg34wetg34retg4rgh5kh4/FHD4/tt13650814.mp4,Filme,,Dublado,0,,,26/04/2026,
79452,Push: No Limite do Medo,https://image.tmdb.org/t/p/w185/aIOTrlX82mYw6o6LEuMn9yUrhd2.jpg,"Lançamentos, Terror, Thriller","Natalie Flores, uma corretora de imóveis grávida, está se preparando para um Open House em uma propriedade com um passado sombrio. Quando um espírito maligno disfarçado de possível cliente aparece, Natalie entra em trabalho de parto prematuro e precisa encontrar uma maneira de escapar antes de dar à luz.",http://fhd4.oneplayer.site/343rt342wtg34wetg34retg4rgh5kh4/FHD4/tt25756108.mp4,Filme,,Dublado,0,,,26/04/2026,
79453,Halloween – O Espantalho Assassino,https://image.tmdb.org/t/p/w185/f53HjThQrgUIge5bVwGynnla1E7.jpg,"Lançamentos, Terror, Thriller","Em 1987, Benny, um serial killer mascarado de espantalho, foge de um asilo na noite de Halloween e desencadeia carnificina em Seattle. Cassandra, uma jovem ligada ao seu passado, torna-se alvo de sua obsessão.",http://fhd4.oneplayer.site/343rt342wtg34wetg34retg4rgh5kh4/FHD4/tt36748605.mp4,Filme,,Dublado,0,,,26/04/2026,
79454,Yiya Murano: Muerte a la hora del té,https://image.tmdb.org/t/p/w185/ma7BCNDfvndKg2mVRJqGJ83T9bp.jpg,"Documentário, Lançamentos",,http://fhd4.oneplayer.site/343rt342wtg34wetg34retg4rgh5kh4/FHD4/tt41559856.mp4,Filme,,Dublado,0,,,26/04/2026,
79455,Mexicali: Terra sem Lei,https://image.tmdb.org/t/p/w185/9lljJwaDdsTXvrs2umGSONO0k4q.jpg,"Ação, Drama, Lançamentos","Um thriller de ação ambientado no norte do México. Um ex-lutador ajuda a administrar a fazenda da parceira e participa de lutas clandestinas para pagar os trabalhadores. Ao lado de um aliado, enfrenta o ataque de uma gangue perigosa.",http://fhd4.oneplayer.site/343rt342wtg34wetg34retg4rgh5kh4/FHD4/tt36363971.mp4,Filme,,Dublado,0,,,26/04/2026,
79456,Sem Salvação,https://image.tmdb.org/t/p/w185/7cHKInyQQAGBc1y9EpONbixq7ld.jpg,Drama,"Ao conhecer um homem misterioso, uma jovem mãe pertencente a uma seita reclusa embarca numa relação arriscada que desperta desejos e segredos sombrios.",,Serie,1,Dublado,0,,,26/04/2026,
79457,O Amor Não Está Esgotado,https://image.tmdb.org/t/p/w185/bwCh9TYFgZffO9y1qn8zQVCr3L6.jpg,"Comédia, Dorama Dublado, Drama","Uma CEO de uma empresa de cosméticos obcecada pelo trabalho e uma apresentadora de compras pela TV de sucesso, que sofre de insônia, cruzam seus caminhos e, por meio de um romance inesperado, começam a preencher o vazio em suas vidas.",,Serie,1,Dublado,0,,,26/04/2026,
79458,Emergência Radioativa,https://image.tmdb.org/t/p/w185/5MxP4pmZWyBA8d27fAaROFsaH1h.jpg,"Ação, Aventura, Drama, Mistério",Físicos e médicos entram em uma corrida contra o tempo para salvar a cidade e milhares de vidas após um grave acidente radiológico.,,Serie,1,Dublado,0,,,26/04/2026,
